EC,PRESS,TEMP,DEPTH,ALT
0.11,954.20,24.99,-0.60,503.36,
0.08,954.20,24.99,-0.60,503.36,
0.08,953.90,24.98,-0.60,505.98,
0.13,953.90,24.98,-0.60,505.98,
0.08,954.10,24.98,-0.60,504.24,
0.10,954.30,24.97,-0.60,502.49,
0.11,954.10,24.97,-0.60,504.24,
0.06,954.10,24.97,-0.60,504.24,
0.06,954.40,24.96,-0.60,501.62,
0.11,954.00,24.96,-0.60,505.11,
0.13,954.00,24.95,-0.60,505.11,
0.11,954.30,24.95,-0.60,502.49,
0.06,954.40,24.94,-0.60,501.62,
0.08,954.20,24.94,-0.60,503.36,
0.11,953.80,24.93,-0.61,506.86,
0.13,954.80,24.93,-0.60,498.12,
0.08,953.60,24.93,-0.61,508.61,
0.13,954.20,24.92,-0.60,503.36,
0.00,953.80,24.92,-0.61,506.86,
0.08,954.20,24.92,-0.60,503.36,
0.11,954.20,24.91,-0.60,503.36,
0.11,954.30,24.91,-0.60,502.49,
0.11,954.30,24.90,-0.60,502.49,
0.08,953.70,24.90,-0.61,507.73,
0.11,954.10,24.90,-0.60,504.24,
0.06,954.40,24.89,-0.60,501.62,
0.11,954.10,24.89,-0.60,504.24,
0.11,954.00,24.88,-0.60,505.11,
0.13,954.20,24.88,-0.60,503.36,
0.11,953.90,24.87,-0.60,505.98,
0.11,953.90,24.87,-0.60,505.98,
0.10,953.90,24.87,-0.60,505.98,
0.11,953.90,24.86,-0.60,505.98,
0.08,953.90,24.87,-0.60,505.98,
0.13,954.10,24.86,-0.60,504.24,
0.17,953.90,24.87,-0.60,505.98,
0.08,954.00,24.86,-0.60,505.11,
0.04,954.30,24.86,-0.60,502.49,
0.11,954.20,24.86,-0.60,503.36,
0.08,954.00,24.86,-0.60,505.11,
0.15,954.00,24.85,-0.60,505.11,
0.08,954.20,24.85,-0.60,503.36,
0.15,954.40,24.84,-0.60,501.62,
0.13,954.10,24.84,-0.60,504.24,
0.10,954.10,24.83,-0.60,504.24,
0.11,954.20,24.83,-0.60,503.36,
0.11,953.70,24.83,-0.61,507.73,
0.11,953.80,24.82,-0.61,506.86,
0.11,953.90,24.82,-0.60,505.98,
0.13,954.00,24.81,-0.60,505.11,
0.11,953.90,24.81,-0.60,505.98,
0.13,954.30,24.81,-0.60,502.49,
0.13,953.50,24.80,-0.61,509.48,
0.08,954.20,24.80,-0.60,503.36,
0.08,953.90,24.80,-0.60,505.98,
0.11,953.90,24.79,-0.60,505.98,
0.06,953.90,24.80,-0.60,505.98,
0.00,954.00,24.79,-0.60,505.11,
0.06,953.90,24.79,-0.60,505.98,
0.08,954.00,24.79,-0.60,505.11,
0.11,953.80,24.79,-0.61,506.86,
0.13,954.00,24.78,-0.60,505.11,
0.11,954.00,24.79,-0.60,505.11,
0.08,953.80,24.79,-0.61,506.86,
0.15,953.60,24.79,-0.61,508.61,
0.13,954.20,24.80,-0.60,503.36,
0.13,954.30,24.79,-0.60,502.49,
0.13,954.00,24.80,-0.60,505.11,
0.13,953.70,24.80,-0.61,507.73,
0.11,953.90,24.79,-0.60,505.98,
0.10,954.20,24.80,-0.60,503.36,
0.11,953.60,24.80,-0.61,508.61,
0.11,953.80,24.79,-0.61,506.86,
0.11,953.80,24.79,-0.61,506.86,
0.11,954.30,24.79,-0.60,502.49,
0.17,953.20,24.80,-0.61,512.10,
0.08,953.10,24.79,-0.61,512.98,
0.11,953.50,24.78,-0.61,509.48,
0.13,953.90,24.78,-0.60,505.98,
0.13,953.90,24.78,-0.60,505.98,
0.11,953.30,24.78,-0.61,511.23,
0.13,953.50,24.78,-0.61,509.48,
0.13,954.00,24.77,-0.60,505.11,
0.10,953.50,24.77,-0.61,509.48,
0.13,953.80,24.76,-0.61,506.86,
0.11,953.60,24.76,-0.61,508.61,
0.13,953.20,24.76,-0.61,512.10,
0.13,953.60,24.76,-0.61,508.61,
0.13,953.50,24.74,-0.61,509.48,
0.13,953.90,24.74,-0.60,505.98,
0.08,953.50,24.74,-0.61,509.48,
0.13,953.80,24.73,-0.61,506.86,
0.11,953.80,24.73,-0.61,506.86,
0.06,954.00,24.72,-0.60,505.11,
0.15,953.90,24.72,-0.60,505.98,
0.13,953.90,24.71,-0.60,505.98,
0.10,953.50,24.71,-0.61,509.48,
0.13,953.90,24.70,-0.60,505.98,
0.17,953.70,24.69,-0.61,507.73,
0.11,953.70,24.68,-0.61,507.73,
0.13,953.70,24.67,-0.61,507.73,
0.11,954.00,24.67,-0.60,505.11,
0.13,954.20,24.66,-0.60,503.36,
0.15,953.60,24.66,-0.61,508.61,
