cond_uscm,pH,pressure_mbar,temp_C,depth_m,alt_m
0.15,4.05,955.70,26.54,-0.59,490.27
0.06,4.06,955.60,26.54,-0.59,491.14
0.11,4.06,955.60,26.53,-0.59,491.14
0.08,4.06,955.60,26.52,-0.59,491.14
0.11,4.06,955.60,26.52,-0.59,491.14
0.13,4.06,955.70,26.51,-0.59,490.27
0.15,4.06,955.50,26.51,-0.59,492.01
0.11,4.06,955.50,26.51,-0.59,492.01
0.08,4.06,955.70,26.50,-0.59,490.27
0.06,4.06,955.70,26.50,-0.59,490.27
0.11,4.06,955.30,26.49,-0.59,493.76
0.11,4.01,955.60,26.49,-0.59,491.14
0.06,4.06,955.60,26.48,-0.59,491.14
0.08,4.06,955.40,26.48,-0.59,492.88
0.13,4.06,955.60,26.47,-0.59,491.14
0.08,4.06,955.50,26.47,-0.59,492.01
0.08,4.06,955.50,26.46,-0.59,492.01
0.08,4.06,955.30,26.45,-0.59,493.76
0.08,4.06,955.40,26.45,-0.59,492.88
0.08,4.06,955.30,26.44,-0.59,493.76
0.11,4.06,955.40,26.44,-0.59,492.88
0.08,4.06,955.90,26.43,-0.58,488.52
0.08,4.06,955.80,26.43,-0.59,489.40
0.13,4.06,955.50,26.42,-0.59,492.01
0.04,4.06,955.60,26.42,-0.59,491.14
0.04,4.06,955.60,26.41,-0.59,491.14
0.06,4.06,955.40,26.41,-0.59,492.88
0.11,4.06,955.80,26.40,-0.59,489.40
0.13,4.06,955.60,26.40,-0.59,491.14
0.11,4.06,955.40,26.39,-0.59,492.88
0.15,4.06,955.40,26.38,-0.59,492.88
0.11,4.06,955.50,26.38,-0.59,492.01
0.08,4.06,955.80,26.38,-0.59,489.40
0.13,4.06,955.60,26.37,-0.59,491.14
0.08,4.06,955.50,26.37,-0.59,492.01
0.08,4.07,955.90,26.37,-0.58,488.52
0.08,4.06,955.20,26.36,-0.59,494.63
0.06,4.06,955.70,26.36,-0.59,490.27
0.11,4.06,955.10,26.36,-0.59,495.50
0.13,4.08,955.60,26.36,-0.59,491.14
0.08,4.06,955.50,26.35,-0.59,492.01
0.06,4.07,955.00,26.36,-0.59,496.38
0.11,4.07,955.40,26.35,-0.59,492.88
0.04,4.16,955.70,26.35,-0.59,490.27
0.13,4.05,955.50,26.35,-0.59,492.01
0.11,4.12,955.50,26.36,-0.59,492.01
0.06,4.22,955.70,26.36,-0.59,490.27
0.17,4.70,955.70,26.37,-0.59,490.27
0.15,4.42,955.70,26.38,-0.59,490.27
0.06,3.86,955.80,26.38,-0.59,489.40
0.13,3.94,956.00,26.39,-0.58,487.65
0.04,3.94,955.40,26.40,-0.59,492.88
0.06,3.85,955.90,26.41,-0.58,488.52
0.11,5.26,955.80,26.42,-0.59,489.40
0.11,9.24,955.10,26.43,-0.59,495.50
0.06,7.68,955.30,26.43,-0.59,493.76
0.06,4.97,955.30,26.44,-0.59,493.76
0.08,5.05,955.10,26.44,-0.59,495.50
0.13,4.53,955.30,26.45,-0.59,493.76
0.11,4.24,955.20,26.45,-0.59,494.63
0.13,4.73,954.60,26.45,-0.60,499.87
0.13,6.23,955.00,26.46,-0.59,496.38
0.11,3.98,954.90,26.46,-0.59,497.25
