EC,PRESS,TEMP,DEPTH,ALT
0.06,961.20,23.06,-0.53,442.40,
0.06,961.30,23.05,-0.53,441.53,
0.08,961.20,23.05,-0.53,442.40,
0.11,961.40,23.05,-0.53,440.66,
0.06,961.20,23.04,-0.53,442.40,
0.06,961.10,23.03,-0.53,443.26,
0.08,961.00,23.03,-0.53,444.13,
0.11,961.20,23.02,-0.53,442.40,
0.06,961.30,23.02,-0.53,441.53,
0.08,961.40,23.02,-0.53,440.66,
0.10,961.10,23.02,-0.53,443.26,
0.06,961.00,23.03,-0.53,444.13,
0.11,961.10,23.03,-0.53,443.26,
0.13,961.30,23.02,-0.53,441.53,
0.13,961.20,23.02,-0.53,442.40,
0.08,961.40,23.03,-0.53,440.66,
0.06,961.20,23.03,-0.53,442.40,
0.06,961.30,23.03,-0.53,441.53,
0.06,961.70,23.03,-0.52,438.05,
0.08,961.40,23.04,-0.53,440.66,
0.11,961.20,23.04,-0.53,442.40,
0.11,961.10,23.04,-0.53,443.26,
0.08,961.30,23.04,-0.53,441.53,
0.00,961.50,23.05,-0.53,439.79,
0.11,961.10,23.05,-0.53,443.26,
0.06,961.30,23.06,-0.53,441.53,
0.11,960.70,23.06,-0.53,446.74,
0.13,961.10,23.07,-0.53,443.26,
0.08,961.00,23.07,-0.53,444.13,
0.04,961.50,23.08,-0.53,439.79,
0.08,961.10,23.08,-0.53,443.26,
0.13,961.40,23.09,-0.53,440.66,
0.08,961.00,23.09,-0.53,444.13,
0.11,961.10,23.09,-0.53,443.26,
0.08,961.30,23.10,-0.53,441.53,
0.06,961.30,23.11,-0.53,441.53,
0.08,961.20,23.11,-0.53,442.40,
0.10,961.40,23.11,-0.53,440.66,
0.08,961.20,23.11,-0.53,442.40,
0.11,961.30,23.11,-0.53,441.53,
0.06,961.10,23.10,-0.53,443.26,
0.08,960.90,23.10,-0.53,445.00,
0.08,961.20,23.10,-0.53,442.40,
0.08,961.30,23.10,-0.53,441.53,
0.08,961.10,23.10,-0.53,443.26,
0.08,961.20,23.10,-0.53,442.40,
0.08,961.40,23.10,-0.53,440.66,
0.11,961.40,23.10,-0.53,440.66,
0.11,961.40,23.10,-0.53,440.66,
0.11,961.10,23.10,-0.53,443.26,
0.00,961.10,23.09,-0.53,443.26,
0.08,961.10,23.10,-0.53,443.26,
0.08,961.50,23.10,-0.53,439.79,
0.11,961.20,23.09,-0.53,442.40,
0.06,961.00,23.10,-0.53,444.13,
0.08,961.50,23.10,-0.53,439.79,
0.11,961.10,23.10,-0.53,443.26,
0.13,961.50,23.09,-0.53,439.79,
0.15,961.60,23.10,-0.53,438.92,
0.08,961.00,23.10,-0.53,444.13,
0.08,961.60,23.10,-0.53,438.92,
0.08,961.40,23.10,-0.53,440.66,
0.11,961.10,23.10,-0.53,443.26,
0.00,961.20,23.10,-0.53,442.40,
0.11,961.10,23.09,-0.53,443.26,
0.06,961.40,23.09,-0.53,440.66,
0.11,961.30,23.09,-0.53,441.53,
0.06,961.40,23.09,-0.53,440.66,
0.15,961.30,23.08,-0.53,441.53,
0.08,961.20,23.08,-0.53,442.40,
0.06,961.10,23.08,-0.53,443.26,
0.11,961.30,23.08,-0.53,441.53,
0.08,960.90,23.08,-0.53,445.00,
0.13,961.20,23.07,-0.53,442.40,
0.11,961.00,23.07,-0.53,444.13,
0.11,960.80,23.07,-0.53,445.87,
0.10,960.80,23.07,-0.53,445.87,
0.08,961.10,23.06,-0.53,443.26,
0.11,961.20,23.06,-0.53,442.40,
0.11,961.10,23.06,-0.53,443.26,
0.08,961.00,23.06,-0.53,444.13,
0.11,961.10,23.06,-0.53,443.26,
0.04,961.50,23.06,-0.53,439.79,
0.15,960.70,23.06,-0.53,446.74,
0.13,961.10,23.06,-0.53,443.26,
0.13,961.40,23.06,-0.53,440.66,
0.13,960.90,23.07,-0.53,445.00,
0.08,961.50,23.07,-0.53,439.79,
0.08,961.30,23.07,-0.53,441.53,
0.11,961.40,23.07,-0.53,440.66,
0.10,961.10,23.07,-0.53,443.26,
0.11,961.30,23.08,-0.53,441.53,
0.11,960.70,23.08,-0.53,446.74,
0.13,961.10,23.08,-0.53,443.26,
0.06,961.30,23.08,-0.53,441.53,
0.06,961.60,23.08,-0.53,438.92,
0.06,961.30,23.08,-0.53,441.53,
0.15,961.50,23.08,-0.53,439.79,
0.02,961.10,23.08,-0.53,443.26,
0.15,961.00,23.08,-0.53,444.13,
0.06,960.80,23.09,-0.53,445.87,
0.17,961.30,23.09,-0.53,441.53,
0.13,961.40,23.09,-0.53,440.66,
0.10,961.20,23.10,-0.53,442.40,
0.11,961.10,23.10,-0.53,443.26,
0.17,961.60,23.11,-0.53,438.92,
0.13,961.10,23.11,-0.53,443.26,
0.04,961.50,23.11,-0.53,439.79,
0.04,961.20,23.11,-0.53,442.40,
0.06,961.30,23.11,-0.53,441.53,
0.13,961.10,23.12,-0.53,443.26,
0.13,961.50,23.12,-0.53,439.79,
0.11,961.30,23.12,-0.53,441.53,
0.11,961.70,23.12,-0.52,438.05,
0.13,961.30,23.12,-0.53,441.53,
0.06,961.10,23.12,-0.53,443.26,
0.10,960.90,23.11,-0.53,445.00,
0.15,961.30,23.12,-0.53,441.53,
0.08,961.10,23.11,-0.53,443.26,
0.11,961.20,23.10,-0.53,442.40,
0.11,961.30,23.10,-0.53,441.53,
0.15,961.60,23.09,-0.53,438.92,
0.17,961.60,23.07,-0.53,438.92,
0.11,962.00,23.06,-0.52,435.45,
0.13,961.50,23.05,-0.53,439.79,
0.13,961.60,23.04,-0.53,438.92,
0.13,961.30,23.04,-0.53,441.53,
0.13,961.30,23.03,-0.53,441.53,
0.11,961.40,23.02,-0.53,440.66,
0.10,961.50,23.01,-0.53,439.79,
0.11,961.50,23.00,-0.53,439.79,
0.13,961.30,22.99,-0.53,441.53,
0.11,961.20,22.98,-0.53,442.40,
0.13,961.50,22.98,-0.53,439.79,
0.11,961.50,22.96,-0.53,439.79,
0.08,961.80,22.96,-0.52,437.19,
0.11,961.20,22.95,-0.53,442.40,
0.17,961.30,22.95,-0.53,441.53,
0.11,961.70,22.95,-0.52,438.05,
0.11,961.30,22.95,-0.53,441.53,
0.15,961.20,22.95,-0.53,442.40,
0.08,961.60,22.95,-0.53,438.92,
0.10,961.40,22.95,-0.53,440.66,
0.15,962.20,22.95,-0.52,433.71,
0.13,961.50,22.95,-0.53,439.79,
0.08,961.60,22.95,-0.53,438.92,
0.11,961.20,22.95,-0.53,442.40,
0.15,961.50,22.94,-0.53,439.79,
0.15,961.80,22.94,-0.52,437.19,
0.15,961.20,22.95,-0.53,442.40,
0.15,961.20,22.94,-0.53,442.40,
0.13,961.20,22.94,-0.53,442.40,
0.08,961.80,22.95,-0.52,437.19,
0.08,961.70,22.95,-0.52,438.05,
0.13,961.20,22.96,-0.53,442.40,
0.10,961.40,22.96,-0.53,440.66,
0.08,961.20,22.97,-0.53,442.40,
0.11,961.80,22.98,-0.52,437.19,
0.15,961.20,22.99,-0.53,442.40,
0.13,962.00,22.98,-0.52,435.45,
0.08,961.30,22.96,-0.53,441.53,
0.13,961.50,22.97,-0.53,439.79,
0.08,961.20,22.97,-0.53,442.40,
0.08,961.10,22.97,-0.53,443.26,
0.08,961.60,22.96,-0.53,438.92,
0.11,961.20,22.96,-0.53,442.40,
0.08,961.20,22.96,-0.53,442.40,
0.11,961.30,22.96,-0.53,441.53,
0.10,961.50,22.97,-0.53,439.79,
0.13,961.50,22.96,-0.53,439.79,
0.13,961.60,22.96,-0.53,438.92,
0.13,961.50,22.96,-0.53,439.79,
0.13,961.30,22.95,-0.53,441.53,
0.13,961.50,22.95,-0.53,439.79,
0.13,961.70,22.96,-0.52,438.05,
0.17,961.50,22.96,-0.53,439.79,
0.08,961.00,22.95,-0.53,444.13,
0.13,961.00,22.94,-0.53,444.13,
0.11,961.50,22.94,-0.53,439.79,
0.13,961.30,22.94,-0.53,441.53,
0.08,961.30,22.94,-0.53,441.53,
0.11,962.00,22.94,-0.52,435.45,
0.10,961.60,22.94,-0.53,438.92,
0.15,961.60,22.95,-0.53,438.92,
0.08,962.00,22.96,-0.52,435.45,
0.08,961.70,22.97,-0.52,438.05,
0.13,961.20,22.98,-0.53,442.40,
0.17,961.30,23.00,-0.53,441.53,
0.13,961.80,23.03,-0.52,437.19,
0.15,961.40,23.06,-0.53,440.66,
0.11,961.60,23.08,-0.53,438.92,
0.11,961.50,23.11,-0.53,439.79,
0.11,961.80,23.14,-0.52,437.19,
0.13,962.20,23.16,-0.52,433.71,
0.13,962.10,23.19,-0.52,434.58,
0.10,962.10,23.22,-0.52,434.58,
0.13,961.80,23.25,-0.52,437.19,
0.06,961.90,23.29,-0.52,436.32,
0.15,961.90,23.33,-0.52,436.32,
0.11,962.10,23.38,-0.52,434.58,
0.13,962.10,23.43,-0.52,434.58,
0.11,962.10,23.48,-0.52,434.58,
0.11,962.60,23.53,-0.52,430.24,
0.06,962.50,23.59,-0.52,431.11,
0.11,962.50,23.65,-0.52,431.11,
0.11,962.40,23.71,-0.52,431.98,
0.11,962.70,23.77,-0.51,429.38,
0.11,962.20,23.82,-0.52,433.71,
0.10,963.10,23.88,-0.51,425.91,
0.13,962.80,23.94,-0.51,428.51,
0.11,962.90,24.00,-0.51,427.64,
0.15,962.70,24.06,-0.51,429.38,
0.11,972.10,24.13,-0.42,348.17,
0.15,997.40,24.45,-0.16,132.73,
0.13,1023.20,25.07,0.10,-82.47,
0.13,1050.50,25.80,0.38,-305.44,
0.11,1077.20,26.52,0.66,-519.01,
0.15,1104.70,27.18,0.94,-734.56,
0.17,1132.30,27.78,1.22,-946.56,
0.11,1159.70,28.31,1.50,-1152.92,
0.11,1187.10,28.78,1.78,-1355.38,
0.10,1214.30,29.21,2.06,-1552.65,
0.17,1242.20,29.60,2.34,-1751.31,
0.11,1265.40,29.96,2.58,-1913.77,
0.15,1289.10,30.28,2.82,-2077.26,
391.46,1315.70,30.57,3.10,-2257.89,
56562.46,1343.70,30.85,3.38,-2444.85,
562.40,1372.00,31.10,3.67,-2630.64,
562.40,1398.80,31.33,3.95,-2803.74,
562.20,1426.80,31.55,4.23,-2981.75,
562.20,1455.10,31.74,4.52,-3158.81,
562.10,1482.80,31.92,4.81,-3329.44,
562.00,1493.40,32.09,4.91,-3394.06,
562.00,1464.50,32.24,4.62,-3217.01,
562.20,1478.60,32.38,4.76,-3303.74,
562.10,1508.60,32.51,5.07,-3486.06,
562.20,1536.30,32.64,5.35,-3651.82,
562.20,1563.40,32.75,5.63,-3811.66,
562.20,1590.90,32.86,5.91,-3971.58,
562.10,1619.40,32.97,6.20,-4134.98,
562.00,1647.50,33.08,6.49,-4293.82,
561.90,1674.60,33.16,6.77,-4444.94,
561.80,1703.40,33.25,7.06,-4603.38,
561.70,1729.40,33.32,7.33,-4744.57,
561.60,1757.40,33.39,7.61,-4894.71,
561.70,1784.70,33.46,7.89,-5039.24,
561.70,1812.60,33.52,8.18,-5185.11,
561.70,1839.50,33.57,8.45,-5324.05,
561.60,1868.00,33.62,8.74,-5469.46,
561.60,1895.40,33.67,9.03,-5607.58,
561.60,1922.30,33.71,9.30,-5741.60,
561.50,1949.20,33.75,9.58,-5874.13,
