EC,PRESS,TEMP,DEPTH,ALT
0.78,954.20,25.43,-0.60,503.36,
0.72,954.30,25.43,-0.60,502.49,
0.74,954.10,25.44,-0.60,504.24,
0.72,954.40,25.44,-0.60,501.62,
0.78,954.40,25.45,-0.60,501.62,
0.74,954.40,25.45,-0.60,501.62,
0.70,954.30,25.46,-0.60,502.49,
0.74,954.70,25.47,-0.60,499.00,
0.74,954.50,25.48,-0.60,500.74,
0.76,954.00,25.48,-0.60,505.11,
0.78,954.00,25.49,-0.60,505.11,
0.70,954.80,25.50,-0.60,498.12,
0.70,954.80,25.51,-0.60,498.12,
0.78,954.60,25.52,-0.60,499.87,
0.76,954.60,25.54,-0.60,499.87,
0.78,954.80,25.56,-0.60,498.12,
0.76,954.80,25.57,-0.60,498.12,
0.76,954.50,25.58,-0.60,500.74,
0.72,955.00,25.60,-0.59,496.38,
0.78,954.70,25.62,-0.60,499.00,
0.76,955.00,25.64,-0.59,496.38,
0.78,954.60,25.66,-0.60,499.87,
0.78,954.80,25.68,-0.60,498.12,
0.83,955.00,25.70,-0.59,496.38,
0.81,954.40,25.72,-0.60,501.62,
0.78,954.50,25.74,-0.60,500.74,
0.83,954.40,25.75,-0.60,501.62,
0.83,954.10,25.77,-0.60,504.24,
0.81,954.60,25.78,-0.60,499.87,
0.83,954.30,25.80,-0.60,502.49,
0.83,954.30,25.82,-0.60,502.49,
0.83,954.70,25.85,-0.60,499.00,
0.83,954.60,25.87,-0.60,499.87,
0.83,954.80,25.89,-0.60,498.12,
0.85,954.40,25.92,-0.60,501.62,
0.87,954.30,25.95,-0.60,502.49,
0.89,954.60,25.97,-0.60,499.87,
0.80,954.50,25.99,-0.60,500.74,
0.83,954.50,26.01,-0.60,500.74,
0.89,954.50,26.02,-0.60,500.74,
0.85,954.60,26.04,-0.60,499.87,
0.85,954.20,26.06,-0.60,503.36,
0.89,954.30,26.07,-0.60,502.49,
0.95,954.30,26.08,-0.60,502.49,
0.93,954.20,26.09,-0.60,503.36,
0.93,954.60,26.11,-0.60,499.87,
0.89,954.60,26.12,-0.60,499.87,
0.89,954.60,26.13,-0.60,499.87,
0.95,954.70,26.15,-0.60,499.00,
0.93,954.50,26.16,-0.60,500.74,
0.80,954.80,26.16,-0.60,498.12,
0.89,954.70,26.19,-0.60,499.00,
0.89,954.40,26.20,-0.60,501.62,
0.89,954.50,26.22,-0.60,500.74,
0.95,955.10,26.23,-0.59,495.50,
0.93,954.70,26.25,-0.60,499.00,
0.93,955.00,26.26,-0.59,496.38,
0.93,954.90,26.27,-0.59,497.25,
0.95,955.60,26.29,-0.59,491.14,
0.93,955.40,26.30,-0.59,492.88,
0.93,955.20,26.31,-0.59,494.63,
0.93,955.50,26.33,-0.59,492.01,
0.93,955.10,26.34,-0.59,495.50,
0.90,954.70,26.36,-0.60,499.00,
0.97,955.20,26.38,-0.59,494.63,
0.91,955.10,26.39,-0.59,495.50,
0.95,955.20,26.41,-0.59,494.63,
0.95,955.60,26.42,-0.59,491.14,
